cat,pid,p_name,cpu,disk,ram,bandwidth,bps,price,period,aff,create_time,update_time
France Grand Opening Specials - KVM VPS,780,1 GB KVM VPS Special (France),1x vCPU,20 GB,1 GB,3000GB,1Gbps,17.98,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=780,2024-11-06 10:29:34,
France Grand Opening Specials - KVM VPS,781,2 GB KVM VPS Special (France),1x vCPU,30 GB,2 GB,4000GB,1Gbps,24.89,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=781,2024-11-06 10:29:34,
France Grand Opening Specials - KVM VPS,782,4 GB KVM VPS Special (France),2x vCPU,50 GB,4 GB,6000GB,1Gbps,44.59,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=782,2024-11-06 10:29:34,
Chinese New Year 2024,838,1 GB KVM VPS (CNY 2024),1 vCPU,15 GB,1 GB,2000GB,1Gbps,10.99,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=838,2024-11-06 10:29:34,
Chinese New Year 2024,839,1.5 GB KVM VPS (CNY 2024),1 vCPU,25 GB,1.5 GB,4000GB,1Gbps,16.88,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=839,2024-11-06 10:29:34,
Chinese New Year 2024,840,2.5 GB KVM VPS (CNY 2024),2 vCPU,38 GB,2.5 GB,6000GB,1Gbps,23.88,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=840,2024-11-06 10:29:34,
11.11 Specials,875,1 GB KVM VPS (2024's 11.11 Promo),1x vCPU Core,14 GB,1 GB,2000GB,1Gbps,11.11,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=875,2024-11-06 10:29:34,2024-11-18 14:39:52
11.11 Specials,876,2 GB KVM VPS (2024's 11.11 Promo),1x vCPU Core,25 GB,2 GB,3000GB,1Gbps,17.98,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=876,2024-11-06 10:29:34,2024-11-18 14:39:52
11.11 Specials,877,3 GB KVM VPS (2024's 11.11 Promo),2x vCPU Cores,40 GB,3 GB,5000GB,1Gbps,25.98,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=877,2024-11-06 10:29:34,2024-11-18 14:39:52
11.11 Specials,878,4 GB KVM VPS (2024's 11.11 Promo),3x vCPU Cores,50 GB,4 GB,6000GB,1Gbps,36.88,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=878,2024-11-06 10:29:34,2024-11-18 14:39:52
Black Friday 2023,792,768 MB KVM VPS (Black Friday 2023),1 vCPU Core,15 GB,768 MB,1000GB,1Gbps,10.18,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=792,2024-11-06 10:29:34,2024-11-18 14:39:52
Black Friday 2023,793,2 GB KVM VPS (Black Friday 2023),1 vCPU Core,30 GB,2 GB,2500GB,1Gbps,16.98,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=793,2024-11-06 10:29:34,2024-11-18 14:39:52
Black Friday 2023,794,2.5 GB KVM VPS (Black Friday 2023),2 vCPU Cores,50 GB,2.5 GB,5000GB,1Gbps,25.49,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=794,2024-11-06 10:29:34,2024-11-18 14:39:52
Black Friday 2023,795,4 GB KVM VPS (Black Friday 2023),2 vCPU Cores,80 GB,4 GB,8000GB,1Gbps,38.88,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=795,2024-11-06 10:29:34,2024-11-18 14:39:52
Black Friday 2023,796,4.5 GB KVM VPS (Black Friday 2023),4 vCPU Cores,115 GB,4.5 GB,"10,000GB",1Gbps,52.49,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=796,2024-11-06 10:29:34,2024-11-18 14:39:52
Black Friday 2023,797,"1.5 GB Ryzen 7950X VPS (Black Friday 2023)

                                            0 Available",1 vCPU,30 GB,1.5 GB,2500GB,1Gbps,19.0,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=797,2024-11-06 10:29:34,2024-11-18 14:39:52
Black Friday 2023,798,"2 GB Ryzen 7950X VPS (Black Friday 2023)

                                            0 Available",2 vCPU,40 GB,2 GB,4000GB,1Gbps,29.0,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=798,2024-11-06 10:29:34,2024-11-18 14:39:52
Black Friday 2023,799,"3 GB Ryzen 7950X VPS (Black Friday 2023)

                                            0 Available",2 vCPU,55 GB,3 GB,6000GB,1Gbps,45.0,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=799,2024-11-06 10:29:34,2024-11-18 14:39:52
Black Friday 2023,800,SHARED - 40 GB (Available in Multiple Locations),,40 GB,,,,12.39,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=800,2024-11-06 10:29:34,2024-11-18 14:39:52
Black Friday 2023,801,SHARED - 80 GB (Available in Multiple Locations),,80 GB,,,,21.49,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=801,2024-11-06 10:29:34,2024-11-18 14:39:52
Black Friday 2023,802,SHARED - 140 GB (Available in Multiple Locations),,140 GB,,20 TB,,49.95,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=802,2024-11-06 10:29:34,2024-11-18 14:39:52
Black Friday 2023,803,RESELLER - 80 GB (Available in Multiple Locations),,80 GB,,,,29.88,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=803,2024-11-06 10:29:34,2024-11-18 14:39:52
Black Friday 2023,804,RESELLER - 120 GB (Available in Multiple Locations),,120 GB,,,,55.0,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=804,2024-11-06 10:29:34,2024-11-18 14:39:52
Black Friday 2023,805,RESELLER - 200 GB (Available in Multiple Locations),,200 GB,,10 TB,,79.99,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=805,2024-11-06 10:29:34,2024-11-18 14:39:52
Black Friday 2023,806,DEDICATED - Intel Xeon E3-1240 V2,,,32 GB,,1Gbps,59.0,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=806,2024-11-06 10:29:34,2024-11-18 14:39:52
Black Friday 2023,807,DEDICATED - Dual Intel Xeon E5-2690 V4,,2 TB,64 GB,,1Gbps,149.0,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=807,2024-11-06 10:29:34,2024-11-18 14:39:52
Black Friday 2023,809,DEDICATED - SEO Server Special,,16 GB,16 GB,,1Gbps,140.0,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=809,2024-11-06 10:29:34,2024-11-18 14:39:52
New Year 2024,826,1 GB KVM VPS (New Year 2024),1 vCPU Core,21 GB,1 GB,1500GB,1Gbps,11.49,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=826,2024-11-06 10:29:34,2024-11-18 14:39:52
New Year 2024,827,2 GB KVM VPS (New Year 2024),1 vCPU Core,35 GB,2 GB,2500GB,1Gbps,17.38,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=827,2024-11-06 10:29:34,2024-11-18 14:39:52
New Year 2024,828,3 GB KVM VPS (New Year 2024),2 vCPU Cores,45 GB,3 GB,5000GB,1Gbps,27.98,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=828,2024-11-06 10:29:34,2024-11-18 14:39:52
New Year 2024,829,4 GB KVM VPS (New Year 2024),2 vCPU Cores,60 GB,4 GB,8000GB,1Gbps,37.38,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=829,2024-11-06 10:29:34,2024-11-18 14:39:52
New Year 2024,830,"1.2 GB Ryzen 7950X VPS (New Year 2024)

                                            0 Available",1 vCPU,25 GB,1.2 GB,2500GB,1Gbps,18.88,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=830,2024-11-06 10:29:34,2024-11-18 14:39:52
New Year 2024,831,"2.5 GB Ryzen 7950X VPS (New Year 2024)

                                            0 Available",2 vCPU,38 GB,2.5 GB,4000GB,1Gbps,32.98,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=831,2024-11-06 10:29:34,2024-11-18 14:39:52
New Year 2024,832,"4 GB Ryzen 7950X VPS (New Year 2024)

                                            0 Available",2 vCPU,65 GB,4 GB,6000GB,1Gbps,55.88,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=832,2024-11-06 10:29:34,2024-11-18 14:39:52
New Year 2024,833,"DEDICATED - Dual Intel Xeon E5-2620 V2

                                            0 Available",,64 GB,64 GB,,1Gbps,115.0,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=833,2024-11-06 10:29:34,2024-11-18 14:39:52
New Year 2024,834,"DEDICATED - Dual Intel Xeon E5-2660 V2

                                            0 Available",,128 GB,128 GB,,1Gbps,179.0,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=834,2024-11-06 10:29:34,2024-11-18 14:39:52
New Year 2024,835,DEDICATED - Dual Intel Xeon E5-2690 V4,,128 GB,128 GB,,1Gbps,199.0,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=835,2024-11-06 10:29:34,2024-11-18 14:39:52
KVM VPS,570,KVM 512MB,1x vCPU Core,15 GB,512MB,500GB,1Gbps,22.99,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=570,2024-11-06 10:29:34,2024-12-05 21:33:37
Shared Hosting,81,RackNerd Shared Hosting - 30GB,,30 GB,,,,5.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=81,2024-11-06 10:29:34,2025-05-18 14:36:14
Shared Hosting,82,RackNerd Shared Hosting - 100GB,,100 GB,,,,9.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=82,2024-11-06 10:29:34,2025-05-18 14:36:14
Shared Hosting,83,RackNerd Shared Hosting - 200GB,,200 GB,,,,15.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=83,2024-11-06 10:29:34,2025-05-18 14:36:14
Reseller Hosting,659,cPanel Reseller Hosting - 40GB,,40 GB,,,,14.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=659,2024-11-06 10:29:34,2025-05-18 14:36:14
Reseller Hosting,660,cPanel Reseller Hosting - 100GB,,100 GB,,,,22.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=660,2024-11-06 10:29:34,2025-05-18 14:36:14
Reseller Hosting,661,cPanel Reseller Hosting - 200GB,,200 GB,,,,36.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=661,2024-11-06 10:29:34,2025-05-18 14:36:14
KVM VPS,1,KVM-512MB,1x vCPU Core,30 GB,512MB,500GB,1Gbps,22.99,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=1,2024-12-06 02:12:27,2025-05-18 14:36:14
KVM VPS,20,KVM-1GB,2x vCPU Core,50 GB,1024MB,1000GB,1Gbps,17.99,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=20,2024-11-06 10:29:34,2025-05-18 14:36:14
KVM VPS,21,KVM-2GB,3x vCPU Core,75 GB,2048MB,2000GB,1Gbps,20.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=21,2024-11-06 10:29:34,2025-05-18 14:36:14
KVM VPS,22,KVM-4GB,4x vCPU Core,130 GB,4096MB,3000GB,1Gbps,24.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=22,2024-11-06 10:29:34,2025-05-18 14:36:14
KVM VPS,23,KVM-6GB,5x vCPU Core,170 GB,6144MB,4000GB,1Gbps,27.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=23,2024-11-06 10:29:34,2025-05-18 14:36:14
KVM VPS,25,KVM-12GB,7x vCPU Core,300 GB,12288MB,6000GB,1Gbps,55.99,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=25,2024-11-06 10:29:34,2025-05-18 14:36:14
KVM VPS,24,KVM-8GB,6x vCPU Core,220 GB,8192MB,5000GB,1Gbps,36.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=24,2024-11-06 10:29:34,2025-05-18 14:36:14
Hybrid Dedicated Servers,4,Dual E5-2690 | 4 GB RAM,,,4 GB,,1Gbps,39.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=4,2024-11-06 10:29:34,2025-05-18 14:36:14
Hybrid Dedicated Servers,5,Dual E5-2690 | 8 GB RAM,,,8 GB,,1Gbps,59.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=5,2024-11-06 10:29:34,2025-05-18 14:36:14
Hybrid Dedicated Servers,6,Dual E5-2690 | 16 GB RAM,,,16 GB,10TB,1Gbps,79.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=6,2024-11-06 10:29:34,2025-05-18 14:36:14
Hybrid Dedicated Servers,7,Dual E5-2690 | 32 GB RAM,,,32 GB,10TB,1Gbps,99.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=7,2024-11-06 10:29:34,2025-05-18 14:36:14
Colocation,8,Single Server Colocation,,,,10TB,1Gbps,179.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=8,2024-11-06 10:29:34,2025-05-18 14:36:14
Colocation,9,Quarter Rack Colocation,,,,30TB,1Gbps,599.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=9,2024-11-06 10:29:34,2025-05-18 14:36:14
Colocation,10,Half Rack Colocation,,,,100TB,1Gbps,999.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=10,2024-11-06 10:29:34,2025-05-18 14:36:14
Dedicated Servers,12,Intel Xeon E3-1230 v2 | 16GB RAM | 480 GB SSD,,16 GB,16 GB,35 TB,1Gbps,139.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=12,2024-11-06 10:29:34,2025-05-18 14:36:14
Dedicated Servers,869,Intel Xeon E3-1270 v3 | 32GB RAM | 2x 1TB SSD,,32 GB,32 GB,35 TB,1Gbps,169.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=869,2024-11-06 10:29:34,2025-05-18 14:36:14
Dedicated Servers,867,Dual Intel Xeon E5-2650 v2 | 64GB RAM | 1TB SSD,,64 GB,64 GB,100 TB,1Gbps,199.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=867,2024-11-06 10:29:34,2025-05-18 14:36:14
Dedicated Servers,871,Dual Intel Xeon E5-2650 v2 | 128GB RAM | 1TB SSD + 3TB HDD,,128 GB,128 GB,50 TB,1Gbps,245.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=871,2024-11-06 10:29:34,2025-05-18 14:36:14
Dedicated Servers,868,Dual Intel Xeon E5-2650 v2 | 256GB RAM | 4x 2TB SSD,,256 GB,256 GB,100 TB,1Gbps,349.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=868,2024-11-06 10:29:34,2025-05-18 14:36:14
Dedicated Servers,870,Dual Intel Xeon E5-2680 v4 | 256GB RAM | 4x 2TB SSD,,256 GB,256 GB,100 TB,1Gbps,399.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=870,2024-11-06 10:29:34,2025-05-18 14:36:14
Dedicated Servers,526,[STORAGE SERVER SPECIAL] Dual Xeon E5-2640 V2 | 64 GB RAM | 10x 16 TB SAS + 256 GB SSD | RAID + BBU,,64 GB,64 GB,200 TB,1Gbps,479.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=526,2024-11-06 10:29:34,2025-05-18 14:36:14
High Bandwidth Unmetered Dedicated Servers,746,Intel Xeon E3-1230 V3 (10Gbps Unmetered),,32 GB,32 GB,,,599.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=746,2024-11-06 10:29:34,2025-05-18 14:36:14
High Bandwidth Unmetered Dedicated Servers,747,Intel Xeon E-2136 (10Gbps Unmetered),,32 GB,32 GB,,,799.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=747,2024-11-06 10:29:34,2025-05-18 14:36:14
High Bandwidth Unmetered Dedicated Servers,748,Dual Intel Xeon E5-2630 V4 (10Gbps Unmetered),,64 GB,64 GB,,,950.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=748,2024-11-06 10:29:34,2025-05-18 14:36:14
High Bandwidth Unmetered Dedicated Servers,749,Dual Intel Xeon E5-2695 V4 (10Gbps Unmetered),,128 GB,128 GB,,,1399.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=749,2024-11-06 10:29:34,2025-05-18 14:36:14
